Position,D1_1,D12_1,N2_D6_1
139,2.90E+00,1.52E+00,1.99E+00
140,2.91E+00,1.55E+00,2.00E+00
141,2.92E+00,1.57E+00,2.00E+00
142,2.92E+00,1.60E+00,2.01E+00
143,2.93E+00,1.63E+00,2.01E+00
144,2.94E+00,1.65E+00,2.02E+00
145,2.94E+00,1.68E+00,2.03E+00
146,2.95E+00,1.71E+00,2.03E+00
147,2.96E+00,1.74E+00,2.03E+00
148,2.96E+00,1.76E+00,2.04E+00
149,2.97E+00,1.79E+00,2.04E+00
150,2.97E+00,1.82E+00,2.05E+00
151,2.98E+00,1.85E+00,2.05E+00
152,2.99E+00,1.88E+00,2.06E+00
153,2.99E+00,1.90E+00,2.06E+00
154,3.00E+00,1.93E+00,2.06E+00
155,3.00E+00,1.96E+00,2.07E+00
156,3.01E+00,1.99E+00,2.07E+00
157,3.01E+00,2.01E+00,2.08E+00
158,3.01E+00,2.04E+00,2.08E+00
159,3.02E+00,2.07E+00,2.08E+00
160,3.02E+00,2.09E+00,2.09E+00
161,3.03E+00,2.12E+00,2.09E+00
162,3.03E+00,2.15E+00,2.09E+00
163,3.03E+00,2.17E+00,2.09E+00
164,3.04E+00,2.20E+00,2.10E+00
165,3.04E+00,2.22E+00,2.10E+00
166,3.05E+00,2.25E+00,2.10E+00
167,3.05E+00,2.27E+00,2.11E+00
168,3.06E+00,2.29E+00,2.11E+00
169,3.06E+00,2.32E+00,2.11E+00
170,3.06E+00,2.34E+00,2.11E+00
171,3.07E+00,2.37E+00,2.12E+00
172,3.07E+00,2.39E+00,2.12E+00
173,3.07E+00,2.41E+00,2.12E+00
174,3.08E+00,2.43E+00,2.12E+00
175,3.08E+00,2.45E+00,2.12E+00
176,3.08E+00,2.47E+00,2.13E+00
177,3.09E+00,2.50E+00,2.13E+00
178,3.09E+00,2.51E+00,2.13E+00
179,3.09E+00,2.53E+00,2.13E+00
180,3.10E+00,2.55E+00,2.13E+00
181,3.10E+00,2.57E+00,2.13E+00
182,3.10E+00,2.59E+00,2.14E+00
183,3.10E+00,2.61E+00,2.14E+00
184,3.11E+00,2.63E+00,2.14E+00
185,3.11E+00,2.64E+00,2.14E+00
186,3.11E+00,2.66E+00,2.14E+00
187,3.12E+00,2.68E+00,2.14E+00
188,3.12E+00,2.69E+00,2.14E+00
189,3.12E+00,2.71E+00,2.15E+00
190,3.12E+00,2.72E+00,2.15E+00
191,3.13E+00,2.74E+00,2.15E+00
192,3.13E+00,2.76E+00,2.15E+00
193,3.13E+00,2.77E+00,2.15E+00
194,3.14E+00,2.78E+00,2.15E+00
195,3.14E+00,2.80E+00,2.15E+00
196,3.14E+00,2.81E+00,2.16E+00
197,3.14E+00,2.83E+00,2.16E+00
198,3.15E+00,2.84E+00,2.16E+00
199,3.15E+00,2.85E+00,2.16E+00
200,3.15E+00,2.86E+00,2.16E+00
201,3.15E+00,2.87E+00,2.16E+00
202,3.16E+00,2.89E+00,2.16E+00
203,3.16E+00,2.90E+00,2.16E+00
204,3.16E+00,2.91E+00,2.16E+00
205,3.16E+00,2.92E+00,2.16E+00
206,3.16E+00,2.93E+00,2.17E+00
207,3.17E+00,2.94E+00,2.16E+00
208,3.17E+00,2.95E+00,2.17E+00
209,3.17E+00,2.96E+00,2.17E+00
210,3.17E+00,2.97E+00,2.17E+00
211,3.18E+00,2.98E+00,2.17E+00
212,3.18E+00,2.99E+00,2.17E+00
213,3.18E+00,3.00E+00,2.17E+00
214,3.18E+00,3.01E+00,2.17E+00
215,3.18E+00,3.02E+00,2.17E+00
216,3.18E+00,3.03E+00,2.17E+00
217,3.19E+00,3.04E+00,2.17E+00
218,3.19E+00,3.05E+00,2.17E+00
219,3.19E+00,3.06E+00,2.17E+00
220,3.19E+00,3.06E+00,2.17E+00
221,3.19E+00,3.07E+00,2.17E+00
222,3.20E+00,3.08E+00,2.17E+00
223,3.20E+00,3.09E+00,2.17E+00
224,3.20E+00,3.09E+00,2.17E+00
225,3.20E+00,3.10E+00,2.17E+00
226,3.20E+00,3.11E+00,2.17E+00
227,3.20E+00,3.11E+00,2.17E+00
228,3.20E+00,3.12E+00,2.17E+00
229,3.21E+00,3.13E+00,2.17E+00
230,3.21E+00,3.13E+00,2.17E+00
231,3.21E+00,3.14E+00,2.17E+00
232,3.21E+00,3.15E+00,2.17E+00
233,3.21E+00,3.15E+00,2.17E+00
234,3.22E+00,3.16E+00,2.17E+00
235,3.22E+00,3.16E+00,2.17E+00
236,3.22E+00,3.17E+00,2.17E+00
237,3.22E+00,3.18E+00,2.17E+00
238,3.22E+00,3.18E+00,2.17E+00
239,3.23E+00,3.19E+00,2.17E+00
240,3.23E+00,3.19E+00,2.17E+00
241,3.23E+00,3.20E+00,2.17E+00
242,3.23E+00,3.20E+00,2.17E+00
243,3.23E+00,3.21E+00,2.17E+00
244,3.23E+00,3.22E+00,2.17E+00
245,3.23E+00,3.22E+00,2.17E+00
246,3.24E+00,3.23E+00,2.17E+00
247,3.24E+00,3.23E+00,2.17E+00
248,3.24E+00,3.23E+00,2.17E+00
249,3.24E+00,3.24E+00,2.17E+00
250,3.24E+00,3.24E+00,2.17E+00
251,3.24E+00,3.25E+00,2.17E+00
252,3.25E+00,3.25E+00,2.17E+00
253,3.25E+00,3.26E+00,2.17E+00
254,3.25E+00,3.26E+00,2.17E+00
255,3.25E+00,3.27E+00,2.17E+00
256,3.25E+00,3.27E+00,2.17E+00
257,3.25E+00,3.28E+00,2.17E+00
258,3.26E+00,3.28E+00,2.17E+00
259,3.26E+00,3.28E+00,2.17E+00
260,3.26E+00,3.29E+00,2.17E+00
261,3.26E+00,3.29E+00,2.17E+00
262,3.26E+00,3.30E+00,2.17E+00
263,3.26E+00,3.30E+00,2.17E+00
264,3.26E+00,3.31E+00,2.17E+00
265,3.27E+00,3.31E+00,2.17E+00
266,3.27E+00,3.31E+00,2.17E+00
267,3.27E+00,3.32E+00,2.17E+00
268,3.27E+00,3.32E+00,2.17E+00
269,3.27E+00,3.33E+00,2.17E+00
270,3.27E+00,3.33E+00,2.17E+00
271,3.27E+00,3.33E+00,2.17E+00
272,3.28E+00,3.34E+00,2.17E+00
273,3.28E+00,3.34E+00,2.17E+00
274,3.28E+00,3.34E+00,2.17E+00
275,3.28E+00,3.35E+00,2.17E+00
276,3.28E+00,3.35E+00,2.17E+00
277,3.28E+00,3.36E+00,2.17E+00
278,3.28E+00,3.36E+00,2.17E+00
279,3.28E+00,3.36E+00,2.17E+00
280,3.28E+00,3.37E+00,2.16E+00
281,3.28E+00,3.37E+00,2.16E+00
282,3.28E+00,3.38E+00,2.16E+00
283,3.29E+00,3.38E+00,2.16E+00
284,3.29E+00,3.39E+00,2.16E+00
285,3.29E+00,3.39E+00,2.16E+00
286,3.29E+00,3.39E+00,2.16E+00
287,3.29E+00,3.39E+00,2.16E+00
288,3.29E+00,3.40E+00,2.16E+00
289,3.29E+00,3.40E+00,2.16E+00
290,3.30E+00,3.40E+00,2.16E+00
291,3.30E+00,3.41E+00,2.16E+00
292,3.30E+00,3.41E+00,2.15E+00
293,3.30E+00,3.41E+00,2.15E+00
294,3.30E+00,3.42E+00,2.15E+00
295,3.30E+00,3.42E+00,2.15E+00
296,3.30E+00,3.42E+00,2.15E+00
297,3.30E+00,3.43E+00,2.15E+00
298,3.31E+00,3.43E+00,2.15E+00
299,3.31E+00,3.43E+00,2.15E+00
300,3.31E+00,3.43E+00,2.15E+00
301,3.31E+00,3.44E+00,2.14E+00
302,3.31E+00,3.44E+00,2.14E+00
303,3.31E+00,3.44E+00,2.14E+00
304,3.31E+00,3.44E+00,2.14E+00
305,3.31E+00,3.44E+00,2.14E+00
306,3.31E+00,3.45E+00,2.14E+00
307,3.31E+00,3.45E+00,2.14E+00
308,3.32E+00,3.45E+00,2.14E+00
309,3.32E+00,3.45E+00,2.14E+00
310,3.32E+00,3.46E+00,2.13E+00
311,3.32E+00,3.46E+00,2.13E+00
312,3.32E+00,3.46E+00,2.13E+00
313,3.32E+00,3.46E+00,2.13E+00
314,3.32E+00,3.47E+00,2.13E+00
315,3.32E+00,3.47E+00,2.13E+00
316,3.32E+00,3.47E+00,2.13E+00
317,3.32E+00,3.47E+00,2.13E+00
318,3.32E+00,3.47E+00,2.13E+00
319,3.32E+00,3.48E+00,2.12E+00
320,3.33E+00,3.48E+00,2.12E+00
321,3.33E+00,3.48E+00,2.12E+00
322,3.33E+00,3.48E+00,2.12E+00
323,3.33E+00,3.49E+00,2.12E+00
324,3.33E+00,3.49E+00,2.12E+00
325,3.33E+00,3.49E+00,2.12E+00
326,3.33E+00,3.49E+00,2.12E+00
327,3.33E+00,3.49E+00,2.11E+00
328,3.33E+00,3.49E+00,2.11E+00
329,3.33E+00,3.50E+00,2.11E+00
330,3.33E+00,3.50E+00,2.11E+00
331,3.33E+00,3.50E+00,2.11E+00
332,3.33E+00,3.50E+00,2.11E+00
333,3.33E+00,3.50E+00,2.11E+00
334,3.33E+00,3.51E+00,2.11E+00
335,3.34E+00,3.51E+00,2.11E+00
336,3.34E+00,3.51E+00,2.10E+00
337,3.34E+00,3.51E+00,2.10E+00
338,3.34E+00,3.52E+00,2.10E+00
339,3.34E+00,3.52E+00,2.10E+00
340,3.34E+00,3.52E+00,2.10E+00
341,3.34E+00,3.52E+00,2.10E+00
342,3.34E+00,3.52E+00,2.10E+00
343,3.34E+00,3.52E+00,2.10E+00
344,3.34E+00,3.53E+00,2.10E+00
345,3.34E+00,3.53E+00,2.10E+00
346,3.34E+00,3.53E+00,2.10E+00
347,3.34E+00,3.53E+00,2.09E+00
348,3.34E+00,3.53E+00,2.09E+00
349,3.34E+00,3.54E+00,2.09E+00
350,3.34E+00,3.54E+00,2.09E+00
351,3.34E+00,3.54E+00,2.09E+00
352,3.34E+00,3.54E+00,2.09E+00
353,3.34E+00,3.54E+00,2.09E+00
354,3.34E+00,3.55E+00,2.09E+00
355,3.35E+00,3.55E+00,2.09E+00
356,3.35E+00,3.55E+00,2.09E+00
357,3.35E+00,3.55E+00,2.09E+00
358,3.35E+00,3.55E+00,2.09E+00
359,3.35E+00,3.55E+00,2.08E+00
360,3.35E+00,3.56E+00,2.08E+00
361,3.35E+00,3.56E+00,2.08E+00
362,3.35E+00,3.56E+00,2.08E+00
363,3.35E+00,3.56E+00,2.08E+00
364,3.35E+00,3.56E+00,2.08E+00
365,3.35E+00,3.56E+00,2.08E+00
366,3.35E+00,3.57E+00,2.08E+00
367,3.36E+00,3.57E+00,2.08E+00
368,3.36E+00,3.57E+00,2.08E+00
369,3.36E+00,3.57E+00,2.08E+00
370,3.36E+00,3.57E+00,2.08E+00
371,3.36E+00,3.57E+00,2.08E+00
372,3.36E+00,3.57E+00,2.08E+00
373,3.36E+00,3.58E+00,2.08E+00
374,3.36E+00,3.58E+00,2.08E+00
375,3.36E+00,3.58E+00,2.08E+00
376,3.36E+00,3.58E+00,2.08E+00
377,3.36E+00,3.58E+00,2.07E+00
378,3.36E+00,3.58E+00,2.07E+00
