Position,D1_1,D12_1,N2_D6_1
3632,8.63E-01,8.85E-01,-1.31E-01
3633,8.63E-01,8.85E-01,-1.29E-01
3634,8.62E-01,8.84E-01,-1.31E-01
3635,8.62E-01,8.84E-01,-1.31E-01
3636,8.63E-01,8.85E-01,-1.32E-01
3637,8.62E-01,8.85E-01,-1.32E-01
3638,8.62E-01,8.84E-01,-1.31E-01
3639,8.62E-01,8.85E-01,-1.32E-01
3640,8.62E-01,8.84E-01,-1.32E-01
3641,8.62E-01,8.84E-01,-1.32E-01
3642,8.62E-01,8.84E-01,-1.32E-01
3643,8.62E-01,8.85E-01,-1.32E-01
3644,8.62E-01,8.85E-01,-1.32E-01
3645,8.63E-01,8.85E-01,-1.31E-01
3646,8.62E-01,8.84E-01,-1.33E-01
3647,8.63E-01,8.85E-01,-1.32E-01
3648,8.61E-01,8.84E-01,-1.32E-01
3649,8.61E-01,8.85E-01,-1.33E-01
3650,8.63E-01,8.85E-01,-1.32E-01
3651,8.62E-01,8.85E-01,-1.32E-01
3652,8.62E-01,8.85E-01,-1.33E-01
3653,8.62E-01,8.84E-01,-1.32E-01
3654,8.61E-01,8.85E-01,-1.33E-01
3655,8.62E-01,8.85E-01,-1.33E-01
3656,8.62E-01,8.85E-01,-1.32E-01
3657,8.62E-01,8.85E-01,-1.33E-01
3658,8.62E-01,8.85E-01,-1.33E-01
3659,8.62E-01,8.85E-01,-1.33E-01
3660,8.62E-01,8.85E-01,-1.33E-01
3661,8.62E-01,8.85E-01,-1.32E-01
3662,8.62E-01,8.85E-01,-1.33E-01
3663,8.62E-01,8.85E-01,-1.33E-01
3664,8.62E-01,8.86E-01,-1.33E-01
3665,8.61E-01,8.85E-01,-1.33E-01
3666,8.62E-01,8.85E-01,-1.33E-01
3667,8.61E-01,8.84E-01,-1.33E-01
3668,8.62E-01,8.85E-01,-1.34E-01
3669,8.62E-01,8.85E-01,-1.33E-01
3670,8.62E-01,8.85E-01,-1.34E-01
3671,8.61E-01,8.85E-01,-1.34E-01
3672,8.61E-01,8.84E-01,-1.34E-01
3673,8.61E-01,8.85E-01,-1.33E-01
3674,8.61E-01,8.85E-01,-1.34E-01
3675,8.62E-01,8.85E-01,-1.34E-01
3676,8.62E-01,8.84E-01,-1.33E-01
3677,8.62E-01,8.85E-01,-1.34E-01
3678,8.62E-01,8.85E-01,-1.34E-01
3679,8.61E-01,8.84E-01,-1.33E-01
3680,8.62E-01,8.85E-01,-1.33E-01
3681,8.61E-01,8.85E-01,-1.34E-01
3682,8.61E-01,8.85E-01,-1.34E-01
3683,8.61E-01,8.85E-01,-1.34E-01
3684,8.61E-01,8.85E-01,-1.34E-01
3685,8.61E-01,8.85E-01,-1.36E-01
3686,8.61E-01,8.85E-01,-1.34E-01
3687,8.62E-01,8.85E-01,-1.34E-01
3688,8.62E-01,8.85E-01,-1.36E-01
3689,8.61E-01,8.85E-01,-1.36E-01
3690,8.61E-01,8.84E-01,-1.34E-01
3691,8.61E-01,8.84E-01,-1.36E-01
3692,8.61E-01,8.85E-01,-1.34E-01
3693,8.61E-01,8.84E-01,-1.34E-01
3694,8.61E-01,8.84E-01,-1.34E-01
3695,8.61E-01,8.85E-01,-1.34E-01
3696,8.62E-01,8.85E-01,-1.36E-01
3697,8.62E-01,8.86E-01,-1.34E-01
3698,8.62E-01,8.85E-01,-1.34E-01
3699,8.62E-01,8.85E-01,-1.36E-01
3700,8.61E-01,8.85E-01,-1.36E-01
3701,8.62E-01,8.85E-01,-1.36E-01
3702,8.62E-01,8.84E-01,-1.36E-01
3703,8.62E-01,8.84E-01,-1.36E-01
3704,8.61E-01,8.85E-01,-1.36E-01
3705,8.61E-01,8.84E-01,-1.36E-01
3706,8.62E-01,8.85E-01,-1.36E-01
3707,8.62E-01,8.85E-01,-1.36E-01
3708,8.62E-01,8.84E-01,-1.36E-01
3709,8.62E-01,8.84E-01,-1.34E-01
3710,8.62E-01,8.84E-01,-1.36E-01
3711,8.62E-01,8.84E-01,-1.36E-01
3712,8.61E-01,8.85E-01,-1.36E-01
3713,8.61E-01,8.84E-01,-1.36E-01
3714,8.62E-01,8.84E-01,-1.36E-01
3715,8.61E-01,8.85E-01,-1.34E-01
3716,8.61E-01,8.85E-01,-1.36E-01
3717,8.61E-01,8.85E-01,-1.36E-01
3718,8.61E-01,8.85E-01,-1.36E-01
3719,8.62E-01,8.85E-01,-1.36E-01
3720,8.62E-01,8.85E-01,-1.36E-01
3721,8.62E-01,8.85E-01,-1.36E-01
3722,8.62E-01,8.85E-01,-1.36E-01
3723,8.63E-01,8.84E-01,-1.36E-01
3724,8.62E-01,8.85E-01,-1.36E-01
3725,8.62E-01,8.85E-01,-1.36E-01
3726,8.61E-01,8.84E-01,-1.36E-01
3727,8.62E-01,8.84E-01,-1.36E-01
3728,8.62E-01,8.85E-01,-1.36E-01
3729,8.62E-01,8.85E-01,-1.36E-01
3730,8.62E-01,8.85E-01,-1.36E-01
3731,8.61E-01,8.86E-01,-1.34E-01
3732,8.62E-01,8.86E-01,-1.36E-01
3733,8.62E-01,8.86E-01,-1.36E-01
3734,8.61E-01,8.86E-01,-1.36E-01
3735,8.62E-01,8.86E-01,-1.36E-01
3736,8.62E-01,8.86E-01,-1.37E-01
3737,8.61E-01,8.86E-01,-1.38E-01
3738,8.61E-01,8.86E-01,-1.37E-01
3739,8.62E-01,8.86E-01,-1.37E-01
3740,8.61E-01,8.85E-01,-1.36E-01
3741,8.62E-01,8.86E-01,-1.37E-01
3742,8.61E-01,8.86E-01,-1.37E-01
3743,8.62E-01,8.87E-01,-1.37E-01
3744,8.61E-01,8.86E-01,-1.36E-01
3745,8.61E-01,8.87E-01,-1.37E-01
3746,8.61E-01,8.86E-01,-1.37E-01
3747,8.61E-01,8.86E-01,-1.37E-01
3748,8.61E-01,8.86E-01,-1.37E-01
3749,8.61E-01,8.87E-01,-1.38E-01
3750,8.61E-01,8.87E-01,-1.38E-01
3751,8.61E-01,8.87E-01,-1.37E-01
3752,8.62E-01,8.86E-01,-1.39E-01
3753,8.61E-01,8.86E-01,-1.38E-01
3754,8.61E-01,8.87E-01,-1.38E-01
3755,8.61E-01,8.86E-01,-1.38E-01
3756,8.61E-01,8.86E-01,-1.38E-01
3757,8.62E-01,8.87E-01,-1.37E-01
3758,8.61E-01,8.87E-01,-1.37E-01
3759,8.61E-01,8.86E-01,-1.38E-01
3760,8.62E-01,8.87E-01,-1.38E-01
3761,8.61E-01,8.87E-01,-1.38E-01
3762,8.59E-01,8.87E-01,-1.38E-01
3763,8.61E-01,8.86E-01,-1.37E-01
3764,8.62E-01,8.87E-01,-1.37E-01
3765,8.61E-01,8.87E-01,-1.37E-01
3766,8.61E-01,8.86E-01,-1.38E-01
3767,8.59E-01,8.86E-01,-1.38E-01
3768,8.61E-01,8.87E-01,-1.37E-01
3769,8.61E-01,8.87E-01,-1.38E-01
3770,8.61E-01,8.87E-01,-1.38E-01
3771,8.59E-01,8.87E-01,-1.38E-01
3772,8.59E-01,8.87E-01,-1.38E-01
3773,8.59E-01,8.87E-01,-1.38E-01
3774,8.59E-01,8.86E-01,-1.38E-01
3775,8.61E-01,8.87E-01,-1.37E-01
3776,8.61E-01,8.87E-01,-1.37E-01
3777,8.61E-01,8.87E-01,-1.38E-01
3778,8.61E-01,8.87E-01,-1.38E-01
3779,8.59E-01,8.87E-01,-1.38E-01
3780,8.61E-01,8.87E-01,-1.38E-01
3781,8.59E-01,8.87E-01,-1.38E-01
3782,8.61E-01,8.89E-01,-1.38E-01
3783,8.59E-01,8.87E-01,-1.38E-01
3784,8.61E-01,8.87E-01,-1.38E-01
3785,8.61E-01,8.87E-01,-1.38E-01
3786,8.59E-01,8.87E-01,-1.39E-01
3787,8.59E-01,8.87E-01,-1.38E-01
3788,8.59E-01,8.87E-01,-1.39E-01
3789,8.59E-01,8.86E-01,-1.39E-01
3790,8.61E-01,8.87E-01,-1.38E-01
3791,8.61E-01,8.89E-01,-1.38E-01
3792,8.61E-01,8.87E-01,-1.39E-01
3793,8.59E-01,8.87E-01,-1.39E-01
3794,8.59E-01,8.87E-01,-1.38E-01
3795,8.59E-01,8.86E-01,-1.39E-01
3796,8.59E-01,8.87E-01,-1.39E-01
3797,8.59E-01,8.87E-01,-1.39E-01
3798,8.58E-01,8.87E-01,-1.39E-01
3799,8.59E-01,8.87E-01,-1.39E-01
3800,8.59E-01,8.87E-01,-1.39E-01
3801,8.59E-01,8.87E-01,-1.40E-01
3802,8.59E-01,8.87E-01,-1.39E-01
3803,8.59E-01,8.89E-01,-1.39E-01
3804,8.58E-01,8.87E-01,-1.38E-01
3805,8.59E-01,8.87E-01,-1.39E-01
3806,8.59E-01,8.87E-01,-1.39E-01
3807,8.59E-01,8.87E-01,-1.39E-01
3808,8.59E-01,8.87E-01,-1.39E-01
3809,8.59E-01,8.87E-01,-1.39E-01
3810,8.59E-01,8.87E-01,-1.39E-01
3811,8.58E-01,8.87E-01,-1.39E-01
3812,8.58E-01,8.87E-01,-1.40E-01
3813,8.58E-01,8.86E-01,-1.39E-01
3814,8.59E-01,8.86E-01,-1.39E-01
3815,8.58E-01,8.87E-01,-1.39E-01
3816,8.59E-01,8.89E-01,-1.40E-01
3817,8.59E-01,8.87E-01,-1.40E-01
3818,8.59E-01,8.86E-01,-1.40E-01
3819,8.59E-01,8.87E-01,-1.39E-01
3820,8.59E-01,8.86E-01,-1.40E-01
3821,8.59E-01,8.87E-01,-1.40E-01
3822,8.59E-01,8.87E-01,-1.39E-01
3823,8.61E-01,8.87E-01,-1.40E-01
3824,8.59E-01,8.87E-01,-1.39E-01
3825,8.59E-01,8.86E-01,-1.39E-01
3826,8.59E-01,8.87E-01,-1.39E-01
3827,8.59E-01,8.87E-01,-1.39E-01
3828,8.59E-01,8.87E-01,-1.39E-01
3829,8.59E-01,8.87E-01,-1.39E-01
3830,8.59E-01,8.87E-01,-1.40E-01
3831,8.59E-01,8.87E-01,-1.40E-01
3832,8.59E-01,8.87E-01,-1.40E-01
3833,8.59E-01,8.87E-01,-1.39E-01
3834,8.61E-01,8.87E-01,-1.39E-01
3835,8.59E-01,8.86E-01,-1.40E-01
3836,8.59E-01,8.87E-01,-1.39E-01
3837,8.59E-01,8.89E-01,-1.40E-01
3838,8.59E-01,8.87E-01,-1.38E-01
3839,8.59E-01,8.86E-01,-1.39E-01
3840,8.61E-01,8.87E-01,-1.39E-01
3841,8.59E-01,8.87E-01,-1.40E-01
3842,8.59E-01,8.87E-01,-1.39E-01
3843,8.59E-01,8.87E-01,-1.39E-01
3844,8.61E-01,8.87E-01,-1.40E-01
3845,8.59E-01,8.87E-01,-1.39E-01
3846,8.61E-01,8.89E-01,-1.39E-01
3847,8.59E-01,8.86E-01,-1.40E-01
3848,8.61E-01,8.89E-01,-1.40E-01
3849,8.59E-01,8.89E-01,-1.40E-01
3850,8.59E-01,8.89E-01,-1.39E-01
3851,8.59E-01,8.89E-01,-1.39E-01
3852,8.59E-01,8.89E-01,-1.40E-01
3853,8.59E-01,8.89E-01,-1.39E-01
3854,8.59E-01,8.89E-01,-1.40E-01
3855,8.59E-01,8.89E-01,-1.40E-01
3856,8.59E-01,8.89E-01,-1.39E-01
3857,8.59E-01,8.90E-01,-1.40E-01
3858,8.59E-01,8.90E-01,-1.40E-01
3859,8.59E-01,8.89E-01,-1.40E-01
3860,8.59E-01,8.90E-01,-1.40E-01
3861,8.59E-01,8.90E-01,-1.39E-01
3862,8.58E-01,8.89E-01,-1.39E-01
3863,8.59E-01,8.89E-01,-1.40E-01
3864,8.59E-01,8.90E-01,-1.40E-01
3865,8.58E-01,8.90E-01,-1.39E-01
3866,8.58E-01,8.89E-01,-1.40E-01
3867,8.59E-01,8.90E-01,-1.40E-01
3868,8.58E-01,8.90E-01,-1.39E-01
3869,8.59E-01,8.90E-01,-1.40E-01
3870,8.59E-01,8.90E-01,-1.39E-01
3871,8.59E-01,8.90E-01,-1.40E-01
3872,8.58E-01,8.90E-01,-1.39E-01
3873,8.58E-01,8.90E-01,-1.40E-01
3874,8.58E-01,8.90E-01,-1.40E-01
3875,8.59E-01,8.90E-01,-1.40E-01
3876,8.58E-01,8.90E-01,-1.40E-01
3877,8.59E-01,8.90E-01,-1.40E-01
3878,8.58E-01,8.90E-01,-1.39E-01
3879,8.59E-01,8.90E-01,-1.40E-01
3880,8.58E-01,8.90E-01,-1.39E-01
3881,8.58E-01,8.90E-01,-1.40E-01
3882,8.59E-01,8.90E-01,-1.40E-01
3883,8.58E-01,8.90E-01,-1.40E-01
3884,8.58E-01,8.90E-01,-1.40E-01
3885,8.57E-01,8.91E-01,-1.39E-01
3886,8.58E-01,8.90E-01,-1.40E-01
3887,8.58E-01,8.90E-01,-1.39E-01
3888,8.58E-01,8.90E-01,-1.39E-01
3889,8.59E-01,8.90E-01,-1.40E-01
3890,8.58E-01,8.90E-01,-1.40E-01
3891,8.58E-01,8.90E-01,-1.40E-01
3892,8.58E-01,8.91E-01,-1.40E-01
3893,8.58E-01,8.90E-01,-1.40E-01
3894,8.58E-01,8.91E-01,-1.40E-01
3895,8.58E-01,8.91E-01,-1.40E-01
3896,8.59E-01,8.91E-01,-1.40E-01
3897,8.58E-01,8.91E-01,-1.39E-01
3898,8.58E-01,8.91E-01,-1.40E-01
3899,8.58E-01,8.90E-01,-1.40E-01
3900,8.57E-01,8.91E-01,-1.40E-01
3901,8.57E-01,8.91E-01,-1.40E-01
3902,8.58E-01,8.91E-01,-1.40E-01
3903,8.57E-01,8.91E-01,-1.40E-01
3904,8.58E-01,8.91E-01,-1.40E-01
3905,8.58E-01,8.90E-01,-1.40E-01
3906,8.57E-01,8.90E-01,-1.40E-01
3907,8.58E-01,8.90E-01,-1.40E-01
3908,8.57E-01,8.91E-01,-1.40E-01
3909,8.58E-01,8.91E-01,-1.42E-01
3910,8.58E-01,8.91E-01,-1.42E-01
3911,8.58E-01,8.90E-01,-1.40E-01
3912,8.58E-01,8.91E-01,-1.42E-01
3913,8.58E-01,8.90E-01,-1.42E-01
3914,8.58E-01,8.91E-01,-1.42E-01
3915,8.57E-01,8.91E-01,-1.40E-01
3916,8.57E-01,8.90E-01,-1.40E-01
3917,8.57E-01,8.91E-01,-1.40E-01
3918,8.58E-01,8.91E-01,-1.40E-01
3919,8.57E-01,8.90E-01,-1.40E-01
3920,8.58E-01,8.90E-01,-1.40E-01
3921,8.58E-01,8.90E-01,-1.42E-01
3922,8.57E-01,8.91E-01,-1.40E-01
3923,8.56E-01,8.90E-01,-1.40E-01
3924,8.57E-01,8.91E-01,-1.42E-01
3925,8.57E-01,8.92E-01,-1.42E-01
3926,8.57E-01,8.90E-01,-1.40E-01
3927,8.56E-01,8.91E-01,-1.40E-01
3928,8.57E-01,8.91E-01,-1.42E-01
3929,8.58E-01,8.91E-01,-1.40E-01
3930,8.58E-01,8.90E-01,-1.40E-01
3931,8.57E-01,8.90E-01,-1.42E-01
3932,8.58E-01,8.91E-01,-1.40E-01
3933,8.57E-01,8.91E-01,-1.42E-01
3934,8.57E-01,8.90E-01,-1.40E-01
3935,8.58E-01,8.91E-01,-1.42E-01
3936,8.58E-01,8.91E-01,-1.42E-01
3937,8.57E-01,8.90E-01,-1.42E-01
3938,8.57E-01,8.91E-01,-1.42E-01
3939,8.58E-01,8.90E-01,-1.42E-01
3940,8.57E-01,8.90E-01,-1.42E-01
3941,8.58E-01,8.90E-01,-1.40E-01
3942,8.57E-01,8.90E-01,-1.42E-01
3943,8.57E-01,8.90E-01,-1.40E-01
3944,8.57E-01,8.91E-01,-1.42E-01
3945,8.58E-01,8.90E-01,-1.42E-01
3946,8.58E-01,8.90E-01,-1.42E-01
3947,8.57E-01,8.90E-01,-1.40E-01
3948,8.57E-01,8.90E-01,-1.40E-01
3949,8.58E-01,8.91E-01,-1.42E-01
3950,8.57E-01,8.90E-01,-1.42E-01
3951,8.58E-01,8.90E-01,-1.39E-01
3952,8.57E-01,8.90E-01,-1.40E-01
3953,8.58E-01,8.90E-01,-1.40E-01
3954,8.57E-01,8.90E-01,-1.42E-01
3955,8.58E-01,8.90E-01,-1.42E-01
3956,8.57E-01,8.90E-01,-1.42E-01
3957,8.57E-01,8.90E-01,-1.40E-01
3958,8.58E-01,8.90E-01,-1.40E-01
3959,8.57E-01,8.91E-01,-1.40E-01
3960,8.58E-01,8.92E-01,-1.40E-01
3961,8.58E-01,8.91E-01,-1.40E-01
3962,8.58E-01,8.92E-01,-1.40E-01
3963,8.58E-01,8.92E-01,-1.42E-01
3964,8.57E-01,8.91E-01,-1.40E-01
3965,8.57E-01,8.92E-01,-1.40E-01
3966,8.57E-01,8.92E-01,-1.42E-01
3967,8.57E-01,8.92E-01,-1.40E-01
3968,8.57E-01,8.92E-01,-1.40E-01
3969,8.57E-01,8.92E-01,-1.42E-01
3970,8.57E-01,8.92E-01,-1.42E-01
3971,8.57E-01,8.92E-01,-1.40E-01
3972,8.57E-01,8.94E-01,-1.42E-01
3973,8.57E-01,8.92E-01,-1.42E-01
3974,8.57E-01,8.92E-01,-1.40E-01
3975,8.57E-01,8.94E-01,-1.40E-01
3976,8.56E-01,8.92E-01,-1.40E-01
3977,8.58E-01,8.92E-01,-1.40E-01
3978,8.58E-01,8.92E-01,-1.40E-01
3979,8.57E-01,8.94E-01,-1.42E-01
3980,8.58E-01,8.95E-01,-1.42E-01
3981,8.56E-01,8.94E-01,-1.40E-01
3982,8.57E-01,8.92E-01,-1.40E-01
3983,8.57E-01,8.94E-01,-1.40E-01
3984,8.57E-01,8.92E-01,-1.40E-01
3985,8.57E-01,8.94E-01,-1.42E-01
3986,8.57E-01,8.92E-01,-1.42E-01
3987,8.56E-01,8.94E-01,-1.40E-01
3988,8.57E-01,8.94E-01,-1.40E-01
3989,8.58E-01,8.94E-01,-1.42E-01
3990,8.57E-01,8.95E-01,-1.40E-01
3991,8.57E-01,8.95E-01,-1.40E-01
3992,8.57E-01,8.95E-01,-1.40E-01
3993,8.57E-01,8.94E-01,-1.40E-01
3994,8.57E-01,8.95E-01,-1.42E-01
3995,8.57E-01,8.94E-01,-1.42E-01
3996,8.56E-01,8.94E-01,-1.40E-01
3997,8.57E-01,8.95E-01,-1.42E-01
3998,8.57E-01,8.96E-01,-1.42E-01
3999,8.56E-01,8.95E-01,-1.42E-01
4000,8.56E-01,8.94E-01,-1.42E-01
4001,8.56E-01,8.95E-01,-1.42E-01
4002,8.57E-01,8.95E-01,-1.42E-01
4003,8.57E-01,8.96E-01,-1.42E-01
4004,8.57E-01,8.95E-01,-1.42E-01
4005,8.56E-01,8.95E-01,-1.42E-01
4006,8.56E-01,8.95E-01,-1.42E-01
4007,8.56E-01,8.94E-01,-1.42E-01
4008,8.56E-01,8.96E-01,-1.42E-01
4009,8.56E-01,8.95E-01,-1.42E-01
4010,8.56E-01,8.96E-01,-1.43E-01
4011,8.56E-01,8.96E-01,-1.42E-01
4012,8.54E-01,8.95E-01,-1.42E-01
4013,8.56E-01,8.96E-01,-1.42E-01
4014,8.56E-01,8.96E-01,-1.42E-01
4015,8.54E-01,8.95E-01,-1.42E-01
4016,8.56E-01,8.95E-01,-1.42E-01
4017,8.56E-01,8.95E-01,-1.42E-01
4018,8.56E-01,8.95E-01,-1.42E-01
4019,8.54E-01,8.96E-01,-1.42E-01
4020,8.56E-01,8.95E-01,-1.42E-01
4021,8.56E-01,8.96E-01,-1.42E-01
4022,8.54E-01,8.96E-01,-1.42E-01
4023,8.56E-01,8.96E-01,-1.43E-01
4024,8.54E-01,8.96E-01,-1.43E-01
4025,8.56E-01,8.95E-01,-1.43E-01
4026,8.54E-01,8.96E-01,-1.42E-01
4027,8.56E-01,8.96E-01,-1.42E-01
4028,8.54E-01,8.97E-01,-1.42E-01
4029,8.56E-01,8.97E-01,-1.42E-01
4030,8.56E-01,8.96E-01,-1.43E-01
4031,8.54E-01,8.97E-01,-1.42E-01
4032,8.54E-01,8.97E-01,-1.42E-01
4033,8.54E-01,8.96E-01,-1.43E-01
4034,8.56E-01,8.96E-01,-1.43E-01
4035,8.56E-01,8.96E-01,-1.43E-01
4036,8.56E-01,8.97E-01,-1.43E-01
4037,8.54E-01,8.96E-01,-1.43E-01
4038,8.54E-01,8.96E-01,-1.43E-01
4039,8.56E-01,8.96E-01,-1.43E-01
4040,8.54E-01,8.96E-01,-1.43E-01
4041,8.54E-01,8.96E-01,-1.42E-01
4042,8.53E-01,8.96E-01,-1.42E-01
4043,8.54E-01,8.97E-01,-1.42E-01
4044,8.54E-01,8.96E-01,-1.42E-01
4045,8.54E-01,8.96E-01,-1.42E-01
4046,8.54E-01,8.96E-01,-1.42E-01
4047,8.54E-01,8.96E-01,-1.43E-01
4048,8.54E-01,8.97E-01,-1.42E-01
4049,8.54E-01,8.97E-01,-1.42E-01
4050,8.54E-01,8.96E-01,-1.43E-01
4051,8.54E-01,8.97E-01,-1.43E-01
4052,8.54E-01,8.96E-01,-1.43E-01
4053,8.54E-01,8.96E-01,-1.43E-01
4054,8.56E-01,8.97E-01,-1.43E-01
4055,8.54E-01,8.96E-01,-1.43E-01
4056,8.56E-01,8.96E-01,-1.43E-01
4057,8.54E-01,8.96E-01,-1.43E-01
4058,8.54E-01,8.96E-01,-1.43E-01
4059,8.54E-01,8.97E-01,-1.42E-01
4060,8.56E-01,8.96E-01,-1.42E-01
4061,8.57E-01,8.97E-01,-1.43E-01
4062,8.56E-01,8.96E-01,-1.43E-01
4063,8.56E-01,8.96E-01,-1.43E-01
4064,8.54E-01,8.97E-01,-1.43E-01
4065,8.56E-01,8.96E-01,-1.44E-01
4066,8.54E-01,8.96E-01,-1.43E-01
4067,8.56E-01,8.97E-01,-1.44E-01
4068,8.56E-01,8.97E-01,-1.42E-01
4069,8.56E-01,8.96E-01,-1.42E-01
4070,8.56E-01,8.96E-01,-1.43E-01
4071,8.56E-01,8.95E-01,-1.44E-01
4072,8.56E-01,8.97E-01,-1.43E-01
4073,8.54E-01,8.96E-01,-1.43E-01
4074,8.56E-01,8.96E-01,-1.43E-01
4075,8.56E-01,8.96E-01,-1.43E-01
4076,8.56E-01,8.95E-01,-1.43E-01
4077,8.56E-01,8.96E-01,-1.44E-01
4078,8.54E-01,8.97E-01,-1.43E-01
4079,8.56E-01,8.97E-01,-1.44E-01
4080,8.56E-01,8.96E-01,-1.43E-01
4081,8.56E-01,8.96E-01,-1.43E-01
4082,8.56E-01,8.96E-01,-1.43E-01
4083,8.56E-01,8.97E-01,-1.43E-01
4084,8.56E-01,8.97E-01,-1.44E-01
4085,8.54E-01,8.96E-01,-1.42E-01
4086,8.56E-01,8.98E-01,-1.43E-01
4087,8.54E-01,8.97E-01,-1.43E-01
4088,8.56E-01,8.98E-01,-1.43E-01
4089,8.56E-01,8.98E-01,-1.44E-01
4090,8.54E-01,8.98E-01,-1.44E-01
4091,8.54E-01,8.98E-01,-1.43E-01
4092,8.56E-01,8.98E-01,-1.44E-01
4093,8.54E-01,8.98E-01,-1.44E-01
4094,8.54E-01,8.98E-01,-1.43E-01
4095,8.56E-01,9.00E-01,-1.44E-01
4096,8.54E-01,8.98E-01,-1.44E-01
4097,8.54E-01,8.98E-01,-1.43E-01
4098,8.54E-01,8.98E-01,-1.44E-01
4099,8.56E-01,8.98E-01,-1.44E-01
4100,8.54E-01,8.98E-01,-1.44E-01
4101,8.56E-01,8.98E-01,-1.43E-01
4102,8.54E-01,8.98E-01,-1.45E-01
4103,8.54E-01,8.97E-01,-1.44E-01
4104,8.54E-01,8.98E-01,-1.44E-01
4105,8.54E-01,8.97E-01,-1.44E-01
4106,8.56E-01,8.98E-01,-1.44E-01
4107,8.54E-01,8.98E-01,-1.45E-01
4108,8.56E-01,9.00E-01,-1.44E-01
4109,8.56E-01,9.00E-01,-1.44E-01
4110,8.54E-01,8.98E-01,-1.43E-01
4111,8.56E-01,8.98E-01,-1.44E-01
4112,8.54E-01,8.98E-01,-1.44E-01
4113,8.56E-01,9.00E-01,-1.45E-01
4114,8.54E-01,9.00E-01,-1.44E-01
4115,8.54E-01,9.00E-01,-1.45E-01
4116,8.56E-01,8.98E-01,-1.45E-01
4117,8.56E-01,9.00E-01,-1.44E-01
4118,8.56E-01,9.00E-01,-1.44E-01
4119,8.56E-01,8.98E-01,-1.45E-01
4120,8.56E-01,8.98E-01,-1.45E-01
4121,8.54E-01,9.00E-01,-1.45E-01
4122,8.56E-01,8.98E-01,-1.44E-01
4123,8.56E-01,8.98E-01,-1.45E-01
4124,8.56E-01,8.98E-01,-1.45E-01
4125,8.54E-01,9.00E-01,-1.45E-01
4126,8.54E-01,9.00E-01,-1.45E-01
4127,8.54E-01,9.00E-01,-1.45E-01
4128,8.56E-01,8.98E-01,-1.45E-01
4129,8.56E-01,9.00E-01,-1.45E-01
4130,8.56E-01,8.98E-01,-1.45E-01
4131,8.54E-01,9.00E-01,-1.45E-01
4132,8.54E-01,9.00E-01,-1.46E-01
4133,8.54E-01,8.98E-01,-1.45E-01
4134,8.54E-01,8.98E-01,-1.46E-01
4135,8.56E-01,8.98E-01,-1.45E-01
4136,8.56E-01,9.00E-01,-1.46E-01
4137,8.54E-01,9.00E-01,-1.45E-01
4138,8.54E-01,8.98E-01,-1.46E-01
4139,8.54E-01,9.00E-01,-1.45E-01
4140,8.54E-01,9.00E-01,-1.46E-01
4141,8.54E-01,9.00E-01,-1.46E-01
4142,8.54E-01,9.00E-01,-1.45E-01
4143,8.54E-01,9.00E-01,-1.46E-01
4144,8.54E-01,9.00E-01,-1.46E-01
4145,8.53E-01,9.00E-01,-1.46E-01
4146,8.53E-01,9.00E-01,-1.48E-01
4147,8.54E-01,9.00E-01,-1.45E-01
4148,8.54E-01,9.00E-01,-1.46E-01
4149,8.56E-01,9.01E-01,-1.46E-01
4150,8.54E-01,9.00E-01,-1.46E-01
4151,8.54E-01,9.00E-01,-1.46E-01
4152,8.54E-01,9.00E-01,-1.46E-01
4153,8.54E-01,9.00E-01,-1.48E-01
4154,8.53E-01,9.01E-01,-1.46E-01
4155,8.54E-01,9.00E-01,-1.46E-01
4156,8.54E-01,9.00E-01,-1.46E-01
4157,8.54E-01,9.00E-01,-1.46E-01
4158,8.54E-01,9.00E-01,-1.48E-01
4159,8.54E-01,9.00E-01,-1.46E-01
4160,8.54E-01,9.00E-01,-1.46E-01
4161,8.54E-01,9.01E-01,-1.46E-01
4162,8.53E-01,9.00E-01,-1.48E-01
4163,8.53E-01,8.98E-01,-1.48E-01
4164,8.54E-01,9.00E-01,-1.48E-01
4165,8.54E-01,9.00E-01,-1.48E-01
4166,8.54E-01,9.00E-01,-1.46E-01
4167,8.54E-01,9.00E-01,-1.48E-01
4168,8.54E-01,9.00E-01,-1.48E-01
4169,8.54E-01,9.00E-01,-1.48E-01
4170,8.54E-01,8.98E-01,-1.48E-01
4171,8.54E-01,9.01E-01,-1.48E-01
4172,8.54E-01,8.98E-01,-1.48E-01
4173,8.54E-01,9.00E-01,-1.46E-01
4174,8.54E-01,8.98E-01,-1.48E-01
4175,8.54E-01,9.00E-01,-1.46E-01
4176,8.54E-01,8.98E-01,-1.46E-01
4177,8.54E-01,8.98E-01,-1.48E-01
4178,8.54E-01,9.00E-01,-1.48E-01
4179,8.54E-01,8.98E-01,-1.49E-01
4180,8.54E-01,8.98E-01,-1.48E-01
4181,8.54E-01,9.00E-01,-1.48E-01
4182,8.54E-01,8.98E-01,-1.46E-01
4183,8.54E-01,8.98E-01,-1.46E-01
4184,8.54E-01,8.98E-01,-1.49E-01
4185,8.54E-01,8.98E-01,-1.48E-01
4186,8.54E-01,9.00E-01,-1.48E-01
4187,8.56E-01,8.98E-01,-1.48E-01
4188,8.54E-01,8.98E-01,-1.49E-01
4189,8.54E-01,8.98E-01,-1.48E-01
4190,8.54E-01,8.98E-01,-1.49E-01
