ORF,GFP_R12,rank_GFP,abs,rank_abs
YJL125C,0.050583,1629,0.050583,3166
YDR454C,-0.050533,3836,0.050533,3167
YGL041C,0.050517,1630,0.050517,3168
YDR316W,-0.050501,3835,0.050501,3169
YOR052C,0.050431,1631,0.050431,3170
YOL014W,0.050405,1632,0.050405,3171
YJL083W,-0.050325,3834,0.050325,3172
YGL224C,0.050311,1633,0.050311,3173
YPL241C,0.050276,1634,0.050276,3174
YOR034C,-0.050217,3833,0.050217,3175
YNL034W,0.050106,1635,0.050106,3176
YHL041W,-0.050088,3832,0.050088,3177
YBR295W,-0.050055,3831,0.050055,3178
YGR053C,-0.050027,3830,0.050027,3179
YNL007C,-0.049943,3829,0.049943,3180
YLR187W,0.049923,1636,0.049923,3181
YOR278W,-0.049915,3828,0.049915,3182
YJR112W-A,0.049871,1637,0.049871,3183
YEL071W,0.049839,1638,0.049839,3184
YDR222W,-0.049819,3827,0.049819,3185
YPL025C,0.049797,1639,0.049797,3186
YOL084W,0.049786,1640,0.049786,3187
YDL159W-A,-0.04977,3826,0.04977,3188
YNR061C,-0.049756,3825,0.049756,3189
YGR143W,0.049734,1641,0.049734,3190
YCR021C,0.049718,1642,0.049718,3191
YLR211C,0.049711,1643,0.049711,3192
YCL002C,-0.049699,3824,0.049699,3193
YGR291C,-0.049689,3823,0.049689,3194
YPL083C,-0.049651,3822,0.049651,3195
YGL105W,-0.049634,3821,0.049634,3196
YBR053C,-0.049595,3820,0.049595,3197
YAL021C,0.049553,1644,0.049553,3198
YPR026W,0.049509,1645,0.049509,3199
YML098W,-0.0495,3819,0.0495,3200
YKL033W-A,0.049473,1646,0.049473,3201
YDR158W,-0.049448,3818,0.049448,3202
YNL022C,0.049429,1647,0.049429,3203
YKL008C,0.049404,1648,0.049404,3204
YIL136W,0.049358,1649,0.049358,3205
YOR082C,0.049331,1650,0.049331,3206
YBR196C-B,0.049289,1651,0.049289,3207
YAL017W,0.049263,1652,0.049263,3208
YIL023C,0.049236,1653,0.049236,3209
YDR154C,0.049223,1654,0.049223,3210
YPL014W,0.049209,1655,0.049209,3211
YLR174W,0.049209,1656,0.049209,3212
YML008C,-0.049147,3817,0.049147,3213
YKL150W,0.049123,1657,0.049123,3214
YAL054C,-0.049116,3816,0.049116,3215
YPR188C,0.049086,1658,0.049086,3216
YNL290W,-0.049081,3815,0.049081,3217
YER079W,0.049017,1659,0.049017,3218
YMR115W,-0.049005,3814,0.049005,3219
YPL061W,-0.048953,3813,0.048953,3220
YHR159W,-0.048844,3812,0.048844,3221
YML003W,-0.048754,3811,0.048754,3222
YNL077W,-0.048739,3810,0.048739,3223
YEL040W,0.048695,1660,0.048695,3224
YJR003C,0.048685,1661,0.048685,3225
YLR078C,-0.048647,3809,0.048647,3226
YNL187W,0.048645,1662,0.048645,3227
YKL076C,-0.048645,3808,0.048645,3228
YCL074W,0.048619,1663,0.048619,3229
YKL091C,0.048603,1664,0.048603,3230
YPR068C,0.048497,1665,0.048497,3231
YML034W,0.048449,1666,0.048449,3232
YDR492W,-0.04843,3807,0.04843,3233
YAL019W,-0.048426,3806,0.048426,3234
YGL032C,0.048419,1667,0.048419,3235
YLR222C,0.048417,1668,0.048417,3236
YGR268C,0.048347,1669,0.048347,3237
YDR141C,0.04834,1670,0.04834,3238
YML096W,0.048331,1671,0.048331,3239
YOR338W,0.048321,1672,0.048321,3240
YGL072C,-0.048319,3805,0.048319,3241
YOR145C,0.04831,1673,0.04831,3242
YGR141W,-0.048309,3804,0.048309,3243
YDL215C,-0.048291,3803,0.048291,3244
YLR151C,0.048251,1674,0.048251,3245
YMR017W,-0.048212,3802,0.048212,3246
YDR475C,0.048202,1675,0.048202,3247
YPL146C,-0.048129,3801,0.048129,3248
YJL022W,0.048044,1676,0.048044,3249
YGR004W,0.048026,1677,0.048026,3250
YPL072W,0.048017,1678,0.048017,3251
YNL321W,0.048012,1679,0.048012,3252
YKR098C,0.048004,1680,0.048004,3253
YER185W,-0.047974,3800,0.047974,3254
