M117.2a.1,WBGene00003920
Y22F5A.4.1,WBGene00003090
Y37D8A.19,WBGene00012557
Y43F8B.1d,WBGene00012812
Y47D3A.26b,WBGene00004873
Y48E1B.9a,WBGene00013008
Y49E10.1,WBGene00004506
Y51A2D.9a,WBGene00013077
Y54G9A.6,WBGene00013209
Y57G11B.5,WBGene00013297
Y57G11C.16,WBGene00004487
Y59A8A.3,WBGene00013340
Y62H9A.5,WBGene00013393
Y67H2A.6b,WBGene00000818
ZC373.2,WBGene00013867
ZC434.5.1,WBGene00001337
F45E4.2,WBGene00004046
W08E3.3a.1,WBGene00012344
C29F9.7,WBGene00003931
B0228.4c,WBGene00015061
F26B1.2a,WBGene00017816
K07E3.4a,WBGene00019492
Y53G8AL.2,WBGene00021800
M03A8.1,WBGene00000991
F58G4.1,WBGene00019064
F23H11.3.1,WBGene00017759
Y37E3.17b,WBGene00021355
Y37E3.10a,WBGene00021351
C14F11.4a,WBGene00015780
F42C5.10,WBGene00018350
F21C10.7,WBGene00017657
T25G12.5,WBGene00020812
F52E4.1a.1,WBGene00018701
W01B11.3,WBGene00020915
C18B2.3.1,WBGene00015954
F17E9.4,WBGene00017541
Y71G12B.11a,WBGene00006771
C46G7.2,WBGene00016722
T14G11.3,WBGene00020511
R09E12.3,WBGene00019983
Y32G9A.8a.1,WBGene00021305
E04F6.8,WBGene00017127
F54A3.3,WBGene00018782
Y37E3.8a,WBGene00021350
F53B3.6,WBGene00018744
K11C4.3c,WBGene00006803
D2096.8,WBGene00017075
R07G3.3b,WBGene00019940
C49G7.3,WBGene00016781
F42A10.1.1,WBGene00018339
Y55F3BR.6b,WBGene00021943
C10B5.3,WBGene00015671
W03F11.1a,WBGene00021005
C41G11.1a,WBGene00016568
Y67D8C.10b.1,WBGene00003153
Y22D7AR.10,WBGene00021263
C53B7.2.1,WBGene00016893
C08A9.10,WBGene00044773
C34B2.7.1,WBGene00016392
T10B5.5a.1,WBGene00020391
T25F10.6a.1,WBGene00020808
W05H9.1a,WBGene00021048
Y51H4A.3a,WBGene00004357
W06H8.1b,WBGene00004373
D1007.6,WBGene00004479
T01C3.7.1,WBGene00001423
R05F9.10,WBGene00019893
K10B3.10b,WBGene00004951
F56A3.4.1,WBGene00004955
Y92C3B.2a,WBGene00006697
F43D9.4,WBGene00004798
C03G5.1,WBGene00015391
F29B9.6.1,WBGene00006706
T05C12.7,WBGene00000377
T21B10.7.1,WBGene00000378
K01C8.10.1,WBGene00000379
Y55F3AR.3a,WBGene00021934
F01F1.8a.1,WBGene00000381
T14G12.3,WBGene00006408
F28F5.3c,WBGene00017904
F43B10.2a,WBGene00018374
F25H2.11,WBGene00009122
K03H1.4.1,WBGene00010539
Y105E8B.1a,WBGene00002978
ZK1010.1,WBGene00006728
R01H2.6,WBGene00006713
F26E4.3.1,WBGene00009158
F56D2.1.1,WBGene00018963
B0303.3.1,WBGene00015125
ZC395.10.1,WBGene00022599
B0350.2f.1,WBGene00006780
Y45F10C.2,WBGene00012878
Y45F10C.4,WBGene00012880
ZC477.9d,WBGene00000942
Y49A3A.2.1,WBGene00013025
F46F11.2,WBGene00000473
M01E11.5.1,WBGene00000474
C17G1.6a,WBGene00003553
