AH6.5,WBGene00003231
F01F1.5.1,WBGene00001057
F01F1.7,WBGene00017162
F01F1.9,WBGene00017163
F01G12.5b.1,WBGene00002280
F01G4.1,WBGene00004204
F01G4.4b,WBGene00008503
F01G4.6b.1,WBGene00008505
F02E9.4b,WBGene00004117
F07A11.6b,WBGene00008549
F08B12.3g,WBGene00004831
F08C6.4a,WBGene00006063
F09C8.2,WBGene00008622
F09F3.9.1,WBGene00008629
F09F7.3.1,WBGene00017300
F09G2.8b,WBGene00017316
F10B5.8,WBGene00008642
F10C5.2.1,WBGene00017328
F10E7.4,WBGene00006893
F10G7.10a,WBGene00017373
F10G7.11,WBGene00017374
F10G7.2,WBGene00006626
F11E6.1d,WBGene00008706
F11G11.12,WBGene00000649
F11G11.3,WBGene00001754
F13D11.4.1,WBGene00017429
F13D12.2.1,WBGene00002262
F13D12.5,WBGene00008740
F14F4.3,WBGene00003411
F14H3.4,WBGene00008823
F15B10.2a,WBGene00001090
F17C11.7a.1,WBGene00008918
F17C11.8.1,WBGene00008919
F17E5.2,WBGene00008924
F18A1.4a,WBGene00003045
F18A1.5,WBGene00017546
F18A1.6b.1,WBGene00017547
F20D1.9,WBGene00008979
F20D12.1a,WBGene00017641
F21C3.4a,WBGene00004324
F21D5.5,WBGene00009010
F21F8.3.1,WBGene00000218
F21F8.4.1,WBGene00017678
F21H12.5,WBGene00001402
F22A3.5,WBGene00017690
F22A3.7,WBGene00044605
F22B5.7,WBGene00006994
F22D6.12.1,WBGene00001644
F22D6.3a,WBGene00003815
F23F1.6,WBGene00017747
F23H11.4a,WBGene00017760
F25B4.6,WBGene00017769
F25G6.9,WBGene00017800
F25H2.1,WBGene00006578
F25H2.2,WBGene00009116
F25H2.3,WBGene00009117
F25H5.3e,WBGene00009126
F25H5.4a.1,WBGene00001167
F26A3.1,WBGene00009140
F26A3.8a,WBGene00004508
F26D10.12a,WBGene00009156
F26D10.13,WBGene00044244
F26D10.3.1,WBGene00002005
F26E4.4,WBGene00009159
F26E4.8b,WBGene00006528
F26F2.8,WBGene00023504
F26F4.1.1,WBGene00017825
F26F4.10a.1,WBGene00004679
F27C1.6.1,WBGene00017855
F28C6.6.1,WBGene00006307
F28D1.10.1,WBGene00001580
F28H1.2,WBGene00000779
F28H1.3.1,WBGene00000197
F29B9.4c,WBGene00004205
F29D11.2,WBGene00009254
F30A10.10,WBGene00009267
F31D4.1,WBGene00009289
F31D4.2,WBGene00009290
F31E3.4,WBGene00017951
F32B6.8b.1,WBGene00009322
F32B6.9,WBGene00009323
F32D1.10,WBGene00003159
F32E10.3b,WBGene00017991
F32E10.4,WBGene00002074
F32H2.1a,WBGene00001568
F33A8.1,WBGene00002957
F33A8.3,WBGene00000472
F33C8.3,WBGene00006634
F33C8.4,WBGene00009358
F33D11.10,WBGene00018007
F33D4.6c,WBGene00017998
F33H2.2,WBGene00009366
F35C5.5a,WBGene00009393
F35F11.1,WBGene00018064
F35G12.12,WBGene00009445
F35G12.1a.1,WBGene00009439
F37A4.8,WBGene00002169
F37C12.2.1,WBGene00018150
F37C12.3.1,WBGene00018151
F37C12.7,WBGene00018152
F38A5.13,WBGene00001029
F38H4.8b,WBGene00001151
F39B2.4b,WBGene00006349
F39H11.3,WBGene00000409
F39H2.5.1,WBGene00045237
F40F12.7.1,WBGene00009595
F40F12.9a.1,WBGene00043995
F42A10.2b,WBGene00003593
F42A6.9,WBGene00018330
F42F12.4.1,WBGene00009636
F43D9.3a,WBGene00009654
F43E2.4,WBGene00001812
F43E2.5.1,WBGene00018393
F44B9.6,WBGene00003021
F44E2.4,WBGene00018418
F45H10.1a.1,WBGene00000113
F45H10.4,WBGene00009741
F46B6.6a,WBGene00009771
F46F11.1a,WBGene00018508
F46G11.6,WBGene00045269
F48A11.4a,WBGene00018585
F48E3.3,WBGene00018604
F48E8.4,WBGene00018611
F48E8.6,WBGene00018612
F49C12.7b,WBGene00009877
F49E8.2a,WBGene00018636
F49E8.3b,WBGene00003914
F52B5.5a.1,WBGene00000467
F52E1.13a,WBGene00018700
F52E10.5,WBGene00002051
F52H3.7a.1,WBGene00002265
F53A2.3,WBGene00009951
F53A2.4,WBGene00003829
F53A2.5,WBGene00001092
F53F10.5.1,WBGene00003797
F53F4.10,WBGene00009992
F53F4.14.1,WBGene00009996
F53F8.5,WBGene00010002
F54A3.2,WBGene00018781
F54C9.2,WBGene00006059
F54C9.3,WBGene00010041
F54D11.2.1,WBGene00018812
F54D5.5b,WBGene00010051
F54D5.7.1,WBGene00010052
F54D7.4,WBGene00006984
F54D8.1,WBGene00001076
F54D8.2.1,WBGene00006519
F54H12.1a,WBGene00000041
F55B11.1,WBGene00010083
F55G1.15,WBGene00018907
F55H2.2.1,WBGene00010130
F55H2.6,WBGene00000550
F56C9.10b,WBGene00018953
F56C9.3.1,WBGene00018948
F56D12.6a,WBGene00018974
