AH6.5,WBGene00003231
F13D12.5,WBGene00008740
F13G11.1b.1,WBGene00007058
F13H10.4a,WBGene00008775
F14B4.1,WBGene00008779
F14D7.9,WBGene00008796
F14F4.3,WBGene00003411
F14H3.4,WBGene00008823
F14H8.6b,WBGene00000562
F15A2.6a,WBGene00004719
F15A8.6b,WBGene00017478
F15B10.2a,WBGene00001090
F16B12.4,WBGene00008880
F16B4.1a,WBGene00017503
F17C11.7a.1,WBGene00008918
F17C11.8.1,WBGene00008919
F17E5.2,WBGene00008924
F18A1.4a,WBGene00003045
F18A1.6b.1,WBGene00017547
F19B2.7,WBGene00008946
F19H8.5,WBGene00008965
F20D1.8,WBGene00008978
F20D1.9,WBGene00008979
F20D12.3,WBGene00000242
F20G4.2,WBGene00008991
F20H11.2,WBGene00002889
F21C3.2,WBGene00009001
F21C3.4a,WBGene00004324
F21D12.3.1,WBGene00017663
F21F8.10,WBGene00006183
F21F8.11,WBGene00017681
F21F8.3.1,WBGene00000218
F21F8.4.1,WBGene00017678
F21H12.5,WBGene00001402
F22A3.3,WBGene00001619
F22A3.5,WBGene00017690
F22A3.7,WBGene00044605
F22B3.10a,WBGene00045122
F22B3.2,WBGene00001937
F22B3.8,WBGene00009039
F22D6.12.1,WBGene00001644
F22D6.15,WBGene00009056
F22D6.2,WBGene00009050
F22G12.7,WBGene00044707
F23B2.4,WBGene00000906
F23C8.3b,WBGene00017732
F23F1.6,WBGene00017747
F23F12.3,WBGene00017751
F23H11.2,WBGene00017758
F23H11.4a,WBGene00017760
F23H11.8a,WBGene00003969
F25B3.4,WBGene00009101
F25B4.6,WBGene00017769
F25B5.2b.1,WBGene00017774
F25B5.3b,WBGene00017775
F25B5.4a.1,WBGene00006727
F25D1.4,WBGene00009109
F25G6.9,WBGene00017800
F25H2.1,WBGene00006578
F25H2.2,WBGene00009116
F25H2.3,WBGene00009117
F25H2.7,WBGene00009121
F25H5.2,WBGene00009125
F26A10.2,WBGene00017814
F26A3.1,WBGene00009140
F26A3.8a,WBGene00004508
F26B1.1,WBGene00017815
F26C11.3b,WBGene00009147
F26D10.11,WBGene00009155
F26D10.12a,WBGene00009156
F26D10.13,WBGene00044244
F26E4.4,WBGene00009159
F26E4.7a,WBGene00009162
F26E4.8b,WBGene00006528
F26F2.8,WBGene00023504
F27C1.6.1,WBGene00017855
F27C8.5,WBGene00009185
F27C8.6.1,WBGene00009186
F27D4.1,WBGene00009187
F27D9.3,WBGene00017862
F28D1.10.1,WBGene00001580
F28D1.4a,WBGene00009214
F28G4.4,WBGene00009229
F28H1.1,WBGene00017908
F29A7.8,WBGene00017918
F29B9.4c,WBGene00004205
F29C4.1a,WBGene00000897
F29C4.8j,WBGene00000674
F29D11.2,WBGene00009254
F29F11.2,WBGene00009255
F29F11.4,WBGene00006667
F29G9.4b,WBGene00001345
F30A10.10,WBGene00009267
F31B9.2,WBGene00009279
F31D4.1,WBGene00009289
F31D4.2,WBGene00009290
F31D4.7,WBGene00006687
F31E3.4,WBGene00017951
F32B6.8b.1,WBGene00009322
F32B6.9,WBGene00009323
F32D1.3a,WBGene00017983
F32D1.4a,WBGene00001722
F32D8.3,WBGene00009328
F32E10.3b,WBGene00017991
F32E10.4,WBGene00002074
F32H2.1a,WBGene00001568
F33A8.1,WBGene00002957
F33A8.3,WBGene00000472
F33C8.3,WBGene00006634
F33C8.4,WBGene00009358
F33D11.1,WBGene00018000
F33D11.10,WBGene00018007
F33D11.7,WBGene00018004
F33D4.6c,WBGene00017998
F33H1.1b,WBGene00000914
F33H2.2,WBGene00009366
F35C5.4,WBGene00009392
F35C5.5a,WBGene00009393
F35D11.3.1,WBGene00018044
F35F10.8,WBGene00006013
F35F11.1,WBGene00018064
F35F11.2,WBGene00018065
F35F11.3,WBGene00018066
F35G12.1a.1,WBGene00009439
F35G12.6,WBGene00003112
F36A2.4.1,WBGene00006682
F36A4.6,WBGene00000610
F36G9.9,WBGene00005514
F37B4.9,WBGene00018139
F37C12.2.1,WBGene00018150
F37C12.21,WBGene00194742
F37C12.3.1,WBGene00018151
F38A1.6,WBGene00009519
F38A5.11,WBGene00018168
F38E11.4,WBGene00009541
F38H4.7.1,WBGene00006415
F38H4.8b,WBGene00001151
F39B2.1,WBGene00009553
F39B2.4b,WBGene00006349
F39H11.3,WBGene00000409
F39H2.5.1,WBGene00045237
F40E3.5.1,WBGene00018232
F40F12.7.1,WBGene00009595
F40F12.9a.1,WBGene00043995
F40F4.8,WBGene00004124
F40F8.7.1,WBGene00004096
